;Mean |SHAP| (0);Mean |SHAP| (1)
Q32_Which of the following business intelligence tools do you use most often?_Microsoft Power BI;0.003087528;0.0030875274
Q8_What programming language would you recommend an aspiring data scientist to learn first?_z_Not selected;0.0029920049;0.0029920042
Q32_Which of the following business intelligence tools do you use most often?_Google Data Studio;0.0016072702;0.0016072706
Q8_What programming language would you recommend an aspiring data scientist to learn first?_C++;0.0004808858;0.0004808858
Q30_Which of the following big data products (relational database, data warehouse, data lake, or similar) do you use most often?_Google Cloud BigQuery ;0.00018958646;0.0001895866
Q8_What programming language would you recommend an aspiring data scientist to learn first?_Julia;0.0;0.0
Q8_What programming language would you recommend an aspiring data scientist to learn first?_MATLAB;0.0;0.0
Q8_What programming language would you recommend an aspiring data scientist to learn first?_Other;0.0;0.0
Q8_What programming language would you recommend an aspiring data scientist to learn first?_Swift;0.0;0.0
Q30_Which of the following big data products (relational database, data warehouse, data lake, or similar) do you use most often?_IBM Db2 ;0.0;0.0
Q8_What programming language would you recommend an aspiring data scientist to learn first?_Javascript;0.0;0.0
Q8_What programming language would you recommend an aspiring data scientist to learn first?_Java;0.0;0.0
Q30_Which of the following big data products (relational database, data warehouse, data lake, or similar) do you use most often?_Amazon DynamoDB ;0.0;0.0
Q30_Which of the following big data products (relational database, data warehouse, data lake, or similar) do you use most often?_Amazon Redshift ;0.0;0.0
Q30_Which of the following big data products (relational database, data warehouse, data lake, or similar) do you use most often?_Google Cloud Firestore ;0.0;0.0
Q30_Which of the following big data products (relational database, data warehouse, data lake, or similar) do you use most often?_Google Cloud SQL ;0.0;0.0
Q32_Which of the following business intelligence tools do you use most often?_Einstein Analytics;0.0;0.0
Q30_Which of the following big data products (relational database, data warehouse, data lake, or similar) do you use most often?_Microsoft Access ;0.0;0.0
Q30_Which of the following big data products (relational database, data warehouse, data lake, or similar) do you use most often?_Microsoft Azure Data Lake Storage ;0.0;0.0
Q30_Which of the following big data products (relational database, data warehouse, data lake, or similar) do you use most often?_Other;0.0;0.0
Q30_Which of the following big data products (relational database, data warehouse, data lake, or similar) do you use most often?_SQLite ;0.0;0.0
Q30_Which of the following big data products (relational database, data warehouse, data lake, or similar) do you use most often?_Snowflake ;0.0;0.0
Q32_Which of the following business intelligence tools do you use most often?_Amazon QuickSight;0.0;0.0
Q32_Which of the following business intelligence tools do you use most often?_TIBCO Spotfire;0.0;0.0
Q32_Which of the following business intelligence tools do you use most often?_Sisense ;0.0;0.0
Q32_Which of the following business intelligence tools do you use most often?_Salesforce;0.0;0.0
Q32_Which of the following business intelligence tools do you use most often?_SAP Analytics Cloud ;0.0;0.0
Q32_Which of the following business intelligence tools do you use most often?_Qlik;0.0;0.0
Q32_Which of the following business intelligence tools do you use most often?_Other;0.0;0.0
Q32_Which of the following business intelligence tools do you use most often?_Looker;0.0;0.0
Q32_Which of the following business intelligence tools do you use most often?_Domo;0.0;0.0
